date,stockcode,product_name,price,is_on_special,is_half_price,was_price,savings_amount,package_size,unit_weight_in_grams,cup_price,cup_measure,cup_string,store
2025-05-07,888140,Woolworths Full Cream Milk,4.35,False,False,4.35,0.0,3L,3171,1.45,1L,$1.45 / 1L,woolworths
2025-05-07,468984,Toblerone Milk Chocolate Bar,18.0,False,False,18.0,0.0,360G,380,5.0,100G,$5.00 / 100G,woolworths
2025-05-07,647107,Santa Vittoria Sparkling Mineral Water,10.6,False,False,10.6,0.0,6X750ML,4779,2.36,1L,$2.36 / 1L,woolworths
2025-05-07,363945,Woolworths 35hr Sourdough Loaf Kalamata Olive,7.0,False,False,7.0,0.0,EACH,498,7.0,1EA,$7.00 / 1EA,woolworths
2025-05-07,814479,Cadbury Dairy Milk Chocolate Block,8.0,False,False,8.0,0.0,180G,184,4.44,100G,$4.44 / 100G,woolworths
2025-05-07,306494,Saxa Iodised Cooking Salt IODISED,2.6,False,False,2.6,0.0,1KG,1073,0.03,10G,$0.03 / 10G,woolworths
2025-05-07,134681,Fresh Broccoli,1.95,False,False,1.95,0.0,EACH,330,1.95,1EA,$1.95 / 1EA,woolworths
2025-05-07,94146,Lavazza Espresso Barista Intenso Coffee Beans,35.0,True,False,50.0,15.0,1KG,1029,3.5,100G,$3.50 / 100G,woolworths
2025-05-07,257360,John West Chunky Tuna Tempter In Olive Oil,2.0,True,False,2.7,0.7,95G,125,21.05,1KG,$21.05 / 1KG,woolworths
